"filename", "language", "HTML", "XML", "CSS", "Markdown", "JavaScript", "JSON", "TypeScript", "SCSS", "Python", "YAML", "comment", "blank", "total"
"/Users/william/prog2/temp/smartdba/backend/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/william/prog2/temp/smartdba/backend/agent/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/william/prog2/temp/smartdba/backend/agent/context_builder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -262, 0, -9, -60, -331
"/Users/william/prog2/temp/smartdba/backend/agent/conversation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -149, 0, -11, -29, -189
"/Users/william/prog2/temp/smartdba/backend/agent/conversation_skills.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -273, 0, -21, -53, -347
"/Users/william/prog2/temp/smartdba/backend/agent/intent_detector.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -41, 0, -6, -10, -57
"/Users/william/prog2/temp/smartdba/backend/agent/prompts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -309, 0, -44, -105, -458
"/Users/william/prog2/temp/smartdba/backend/agent/skill_selector.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -51, 0, -1, -15, -67
"/Users/william/prog2/temp/smartdba/backend/agent/tools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -218, 0, -2, -5, -225
"/Users/william/prog2/temp/smartdba/backend/api/skills.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -294, 0, -10, -54, -358
"/Users/william/prog2/temp/smartdba/backend/app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -100, 0, -15, -28, -143
"/Users/william/prog2/temp/smartdba/backend/config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, -6, -18, -57
"/Users/william/prog2/temp/smartdba/backend/database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, -11, -25, -119
"/Users/william/prog2/temp/smartdba/backend/dependencies.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, -8, -40
"/Users/william/prog2/temp/smartdba/backend/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
